original_comment,clean_text,author,author_url,comment_id
i’m muslim tho true,im muslim tho true,@bluecube_timesthesquare,https://www.youtube.com/channel/UCdQawbH484JrPowJsHIK-sQ,UgzosYideRkVrNhFoYJ4AaABAg
Islam is Morden 😂😂😂,islam is morden,@KavitaSaini-q9r,https://www.youtube.com/channel/UCl-r7YQoCU-WsVcIgwyYmcQ,UgwLLiJSlJiGK7O5T3Z4AaABAg
Know islam its full of lies from a drunk,know islam its full of lies from a drunk,@Grandmasterhelios1999-mr5qi,https://www.youtube.com/channel/UCczBi05psQQ55q-3fReUN0g,UgzGzWIea-BUZuCleO94AaABAg
😂😂😂😂😂😂😂,most people dont hate islam they hate the terrorism it causes,@deku0910,https://www.youtube.com/channel/UCXlebtmjvqcm4bYbM4s9Nfw,UgwBR1rZ46rnN4cMxdV4AaABAg
"Most people dont hate islam 
They hate the terrorism it causes",praying to a idol that you created makes no sense and praying to a human makes no sense and praying to allah witch is an entity that loves you is right and of one is dangerous doesnt mean everyone of them are,@unknownguy-r2l,https://www.youtube.com/channel/UCAY33Ee_6mP_Kbqll9Qj_PQ,Ugxg40_OAhu5f6s87m94AaABAg
"Praying to a idol that you created makes no sense, and praying to a human makes no sense, and praying to Allah witch is an entity that loves you is right, and of one is dangerous, doesnt mean everyone of them are",seriously cant stand them,@Aiden-ly4zs,https://www.youtube.com/channel/UCMenEP3t6gPb8waFJTP-Gmg,Ugx9Qp04sVyV7_Hj0Xx4AaABAg
"seriously, cant stand them",iman met jesus and immediately embraced him to be his saviour,@aliboss52,https://www.youtube.com/channel/UCNM7n-Vf-jooFwp-uXL8mFw,Ugw30P0KP6P_ab_yWlZ4AaABAg
Iman met Jesus and immediately embraced Him to be his saviour,because they kill everyone who does not agree with them and are still invading all countries to this day,@OliverClarkson-j5m,https://www.youtube.com/channel/UCrxDy9IkMgCZx5mx7k3i74Q,UgzG2KnlvlRE3FXkPnx4AaABAg
Because they kill everyone who does not agree with them and are still invading all countries to this day?,as a sikhhindu i respect islam but the main problem of the social media nowadays is fear they say ooh islam is bad while others say ooh sikhi hindu christianity etc is bad i know islam teaches good things and so do other religions but it is not the quran gurbani bhagavad gita bible torah fault its the people who think bias,@MM1NGAS,https://www.youtube.com/channel/UCdsLne6h6RnWNHCI_lgzHIQ,UgzG3ON7Ii-SzEMoHWx4AaABAg
"As a Sikh-Hindu, I respect Islam, but the main problem of the social  media nowadays is fear, they say “ooh Islam is bad” while others say “ooh Sikhi/ Hindu/ Christianity, etc is bad” I know Islam teaches good things, and so do other religions but it is not the Qur’an Gurbani, Bhagavad Gita, Bible, Torah, fault it’s the people who think bias",islam is motherducker,@Dr.Haddi01,https://www.youtube.com/channel/UCVsH_1dU8rIulFVEORLMNhA,UgykrPvX5GpfmmuRw3l4AaABAg
Islam is Motherducker,bro i dont hate islam im moslem people say i head i hate islam a christian,@sayedzabihasani5649,https://www.youtube.com/channel/UCHMvEOVXNlNi1vyD7HcljhA,UgzUowHiB6dRNvwWfTJ4AaABAg
"Bro, I don’t hate Islam I’m Moslem people say I Head I hate Islam a Christian",because they attacking israel,@KursamSreenu-jm6nw,https://www.youtube.com/channel/UCefP4Rn4PkVZ4zEjCAAf0wA,UgyiCNunXGoOAUHEkLR4AaABAg
Because they attacking israel,pls correct that word relegious tolerance coz its wrong,@Einzelganger5,https://www.youtube.com/channel/UCHvm2WY-mpU_7dyHlAzryYQ,UgzSD0L0LlZJtiOx__l4AaABAg
"Pls correct that word ""Relegious Tolerance""..
Coz it's wrong 😂",takiya,@अर्पिताa108,https://www.youtube.com/channel/UCbOsdU-3XxOK-fRGW0ZjaSg,UgzZAzdEg2nrqOo-i6N4AaABAg
Takiya,ok im muslim and i admit we did some bad things but that doesnt mean we support them especially osama and the taliban but lets be completepy honest why is it that when a muslim fight sin a war and kills people its nad but when amy other religion does it its fine,@Inr-s5g,https://www.youtube.com/channel/UCb8swkmxoUA7t9KaMg5qcAA,Ugwd6NbHTGDV68lW3u14AaABAg
"Ok im muslim and i admit we did some bad things but that doesnt mean we support them especially osama and the taliban, but lets be completepy honest why is it that when a muslim fight sin a war and kills people its nad but when amy other religion does it its fine",because in islam kids are getting married,@cutemelody1,https://www.youtube.com/channel/UCnm5RdBlsjeBdI6gJ-q7HQQ,UgxIiybwENtF-sxeW3J4AaABAg
Because in Islam kids are getting married 😡,boombing on india,@viswanathpm3140,https://www.youtube.com/channel/UCcaetxhpoDiS8jhlPlh7Dmg,UgyYiA64wq9Cuwhp_SV4AaABAg
Boombing on India,islam is not ugly its unique islam we pray salah and fasting in ramadan who ever truly believe me comment,@Riyokam,https://www.youtube.com/channel/UC_trAUCAw372dVAjWjU1dwg,UgyrSlDO1wKQHwTLuS54AaABAg
"Islam is not ugly it’s unique islam we pray salah and fasting in Ramadan, Who ever truly believe me comment!",islam modern biggest joke,@Yash_22_07,https://www.youtube.com/channel/UCKCW6kCvHJzHljH968M5pHA,UgwDlfR_bXQ5UO9QprN4AaABAg
Islam modern😂😂 biggest joke,yes bro,@tas6566,https://www.youtube.com/channel/UCSOjyvjgFb5gcukTr1YsVCw,UgyrSlDO1wKQHwTLuS54AaABAg.AUIDXBHjlqEAUNm4APL6Gv
